,organizer,call_duration_mins,participants,interaction
0,Lori Sellers,141,"['Joshua Stephenson,Joseph Humphrey,James Burns,Douglas Brown,Valerie Faulkner,Nathan Conway,Matthew Adams,Miranda Edwards']",High
1,Melissa Stark,41,"['Andrea Taylor,Chris Santiago,Kevin Martin']",Medium
2,Brian Cox,141,"['Jeffrey Barton III,Katherine Torres,Joseph Nicholson,Deborah Kelley,Gabrielle Murray,Veronica Arroyo,Kelly Williams MD,Sydney Reed,Christopher Vazquez']",Medium
3,Brent Henderson,148,"['Eric Burgess,Noah Wood,Antonio Parker,Barbara Austin,Thomas Ramirez,Edward Jones,John Bailey,Robert Taylor,Paula Ryan,Joshua Lambert']",High
4,Chelsea Garcia,44,"['Amy Adams,Lori Trujillo,John Bryant']",High
5,Rachel Douglas,157,"['Mr. Lawrence Gonzalez MD,Edwin Williams PhD,Bryan Peterson']",Medium
6,Christopher Booth,72,"['Amanda Beck,Teresa Davis,Melissa Hall,Jeffrey Mitchell,Andrew Coleman,John Reed,Anne Diaz,Scott Romero,Robert Johnson']",High
7,Stephanie Morgan PhD,168,"['Michelle Frank,Todd Lowe,Sandra Sampson,Cody Young,Julie Castillo DVM,Renee Bailey,Shawn Garcia,Nathan Newman,Mark Brennan,Crystal Mejia']",High
8,Monica Jones,160,"['Tracy Welch,Emily Russell,Daniel Brown,Michael Mcmahon,Andrew Flores']",High
9,Amanda Maldonado,108,"['Matthew Murphy,Kathy Rodriguez,Joshua Andrews,Shane Ryan,Raymond Lewis,John Carroll']",Low
10,Joseph Larson,144,"['Sharon Stevens,Leslie Newman,Leslie Rodgers']",High
11,Dana Caldwell,180,"['Francisco Hurst,David Sheppard,Manuel Jones']",Medium
12,Natalie Holland,160,"['Susan Hahn,Victor Herrera,Adam Ortiz,Christina Sampson,Jared Barnes,Jennifer Evans,James Casey,Susan Allen,Tammy Michael']",Medium
13,Hayley Ward,28,"['Susan Brown,Jonathan Roman,Clifford Carey']",Medium
14,Christina Baldwin,96,"['Samantha Alvarado,Linda Mendoza,Robert Hill,Jennifer Porter']",High
15,Edward Gonzalez,99,"['Michelle Bowers,Crystal Walker,Elizabeth Fowler,Hannah Whitaker,Thomas Porter']",Medium
16,Cody Boyd,13,"['Susan Reyes,Danielle Reynolds,Brett Ross']",Medium
17,Paul Mckee,18,"['Priscilla Barrett,Timothy Joyce IV,Charles Walker,Michael Zamora,John Wiley,Stephanie Rice,David Morrow,Anthony Brewer']",Medium
18,Roy Patel,177,"['Benjamin Fields,Kimberly Miles,Jessica Garcia,Daniel Morris,Kristine Lloyd,Joshua Ruiz,Brian Garrett']",Low
19,Steven Gibson,45,"['Meghan Howard,Gary Bell,Tara Donaldson']",Medium
20,Jody Ruiz,80,"['Katie Mckinney,Victoria Spencer,Christopher Peterson,Jennifer Davidson,Margaret Buck,Daniel Bailey,Jaime Johnston']",Medium
21,Dennis Warren,68,"['Matthew Phillips,Tanya Rubio,Rebecca Leon,Stacie Young,Katrina Castillo']",High
22,Peter Flowers,142,"['James Rodriguez,James Jimenez,Tina Duffy,Erik Smith,Jacqueline West,Felicia Davis']",Medium
23,Jon Spears,155,"['Lisa Thomas,Sandra Mendez,Edward James,Brandon Davis']",Low
24,Miguel Hunt,155,"['Danny Henderson,Phillip West,Taylor Smith,Anthony Leon,Gina Smith,Kevin Burke,Amanda Mccarty']",Medium
25,Alicia Dunn,68,"['Joshua Perez,Ryan Vincent,Linda Davis']",Low
26,Hayden Chapman,137,"['Dylan Carter,Edward Lopez,Daniel Jimenez,Thomas Martinez,Heidi Anderson']",High
27,Beth Ward,69,"['Jamie Reed,Danielle Beltran,Veronica Hobbs,Samuel Drake,Alex Kane,John Hill']",Medium
28,Bryan Compton,13,"['Joseph Lynch,Monica Scott,Alan Hunter,Derrick Mosley,Eileen Allen,Barbara Hensley,Lisa Freeman,Timothy Lopez,Peggy Olson,Victor Miller']",Medium
29,Terry Weber,126,"['Kyle Allen,Samantha Brown,Adam Thomas,Laura Miller,Mrs. Jessica Patterson,Connie Patterson,Catherine Cook,Jeffrey Alvarado,Curtis Ramsey,Charles Diaz']",High
30,Emily Nguyen,180,"['James Wilson,Maria Sanchez,John Mcdaniel,Cynthia Bell,Judith Garner,Bryan Mclaughlin']",Low
31,Sharon Blanchard,169,"['Kimberly Moyer,James Peterson,Michelle Ponce,Jennifer Glover']",Low
32,Michael Peck,67,"['Laura Carlson,Jacob Maxwell,Joshua Banks,Kyle Baker']",High
33,Juan Nelson,171,"['Michael Lopez,Marilyn Spencer,Shirley Mason,Aaron Hodge,Jamie Gillespie']",Medium
34,Patricia Hickman,165,"['Gregory Lee,Andrea Wiley,Laura Lopez,Jennifer Stanley,Bryan Nguyen,Fred Johnson,Chase Simmons,Jared Kelly,Katherine Gonzales,Brittany Hamilton']",High
35,Ann Beltran,172,"['Stephanie Whitaker,Kelly Garcia,Susan Jennings,Dawn Jimenez,Michael Murphy,Scott Moses,Michael Johnson,Samantha Jimenez,Erik Santos,Elizabeth Valencia']",Medium
36,Jackie Williams,116,"['Kevin Dorsey,Christopher Scott,Dana Williams']",High
