,organizer,call_duration_mins,participants,indiv_interaction_mins,interaction,meeting_modes,meeting_types,host_locations,recorded_session
0,Surya Prasad,95,"{'Surya Prasad', 'Avinash Prakash,Surya Ravindranath,Avinash Prasad,Divya Prasad,Surya Prakash,Harini Raj,Harini Ravindranath,Aruna Raj,Prasanna Raj,Harini Prasad'}",[30 48 17],Low,in_office,trainings,Romania,yes
1,Divya Prakash,43,"{'Divya Prakash', 'Harini Raj,Avinash Raj,Aruna Raj,Divya Ravindranath,Prasanna Prasad,Surya Prasad,Divya Raj,Surya Raj'}",[16 11 16],Medium,online,employee_engagement,France,no
2,Harini Prasad,50,"{'Harini Ravindranath,Harini Raj,Vaishali Raj,Aruna Prasad,Vaishali Raj,Surya Prakash,Avinash Raj,Harini Raj', 'Harini Prasad'}",[14 31  5],Medium,online,trainings,India,no
3,Avinash Prakash,99,"{'Prasanna Prasad,Vaishali Prasad,Surya Prakash,Prasanna Prakash,Aruna Prakash', 'Avinash Prakash'}",[38 13 48],High,hybrid,employee_engagement,Romania,yes
4,Avinash Prakash,111,"{'Vaishali Prakash,Divya Prasad', 'Avinash Prakash'}",[24 54 33],Low,hybrid,project_discussion,India,yes
5,Avinash Ravindranath,12,"{'Harini Prakash,Divya Ravindranath', 'Avinash Ravindranath'}",[8 3 1],Medium,hybrid,project_discussion,Romania,no
6,Surya Prasad,87,"{'Prasanna Prakash,Prasanna Raj,Aruna Prasad,Vaishali Prasad', 'Surya Prasad'}",[28 36 23],High,online,trainings,France,no
7,Avinash Ravindranath,91,"{'Avinash Ravindranath', 'Divya Prakash,Avinash Prakash,Vaishali Ravindranath,Prasanna Raj,Aruna Ravindranath'}",[16 65 10],Low,online,project_discussion,France,no
8,Harini Ravindranath,11,"{'Harini Ravindranath', 'Aruna Ravindranath,Prasanna Ravindranath,Harini Prakash,Harini Raj,Divya Ravindranath,Surya Prasad,Surya Raj,Avinash Prasad,Aruna Prakash,Harini Prakash'}",[7 4 0],High,in_office,project_discussion,India,no
9,Surya Raj,57,"{'Surya Raj', 'Avinash Raj,Aruna Prakash,Vaishali Ravindranath,Harini Raj,Avinash Ravindranath,Surya Prakash,Prasanna Prakash'}",[23 28  6],Medium,hybrid,project_discussion,Romania,no
10,Surya Prakash,152,"{'Harini Prasad,Divya Raj,Vaishali Prasad,Divya Prakash,Aruna Prakash,Aruna Prakash', 'Surya Prakash'}",[ 11 113  28],Medium,in_office,employee_engagement,France,yes
11,Avinash Ravindranath,167,"{'Avinash Prasad,Prasanna Ravindranath,Surya Raj,Avinash Raj,Vaishali Raj,Avinash Prakash', 'Avinash Ravindranath'}",[54 62 51],High,online,others,Romania,yes
12,Vaishali Ravindranath,50,"{'Vaishali Ravindranath', 'Avinash Raj,Divya Raj,Divya Raj,Avinash Ravindranath,Divya Raj'}",[20 17 13],Low,online,trainings,Romania,no
13,Avinash Raj,118,"{'Avinash Raj', 'Prasanna Prakash,Surya Prakash,Avinash Prasad,Avinash Prasad,Prasanna Prakash,Aruna Prasad,Divya Prasad,Prasanna Prasad,Surya Ravindranath'}",[21 86 11],Low,online,trainings,Remote,no
14,Aruna Ravindranath,149,"{'Aruna Prakash,Prasanna Prakash,Surya Prakash,Vaishali Raj,Vaishali Prakash,Divya Prasad', 'Aruna Ravindranath'}",[  4 128  17],Low,online,trainings,France,yes
15,Surya Prakash,178,"{'Surya Prasad,Aruna Prasad,Harini Ravindranath,Vaishali Raj', 'Surya Prakash'}",[38 55 85],High,online,employee_engagement,France,yes
16,Avinash Prakash,55,"{'Vaishali Prasad,Surya Ravindranath,Divya Prasad,Vaishali Prasad,Avinash Prakash,Aruna Ravindranath,Avinash Raj,Prasanna Raj,Divya Ravindranath,Harini Prasad', 'Avinash Prakash'}",[16 28 11],Medium,online,trainings,Remote,no
17,Harini Raj,106,"{'Vaishali Raj,Avinash Raj,Harini Raj,Harini Ravindranath,Vaishali Prasad', 'Harini Raj'}",[44 49 13],Low,hybrid,others,India,yes
18,Prasanna Raj,19,"{'Prasanna Raj', 'Vaishali Prasad,Vaishali Prasad,Surya Raj,Avinash Prakash,Harini Prakash'}",[ 2  0 17],Low,online,others,Remote,no
19,Harini Ravindranath,166,"{'Harini Ravindranath', 'Divya Prakash,Aruna Prakash,Harini Raj,Prasanna Prasad,Divya Ravindranath'}",[  0 112  54],Medium,in_office,employee_engagement,India,yes
20,Avinash Prakash,15,"{'Surya Prakash,Aruna Ravindranath,Surya Ravindranath,Divya Ravindranath,Divya Prakash,Surya Ravindranath,Vaishali Raj', 'Avinash Prakash'}",[ 4  0 11],High,hybrid,others,Romania,yes
21,Avinash Prakash,139,"{'Avinash Prakash', 'Divya Prasad,Divya Prasad,Avinash Prakash,Surya Prasad'}",[39 41 59],High,hybrid,trainings,India,yes
22,Aruna Raj,175,"{'Aruna Raj', 'Harini Raj,Harini Ravindranath,Surya Prasad,Prasanna Raj,Avinash Prakash'}",[ 11 132  32],High,online,project_discussion,France,yes
23,Harini Ravindranath,93,"{'Harini Ravindranath', 'Avinash Prakash,Aruna Raj,Divya Ravindranath'}",[ 9  3 81],High,hybrid,trainings,France,no
24,Avinash Raj,171,"{'Avinash Raj', 'Surya Prasad,Vaishali Prasad,Prasanna Prasad,Harini Prakash,Aruna Ravindranath,Vaishali Ravindranath,Surya Raj,Vaishali Ravindranath'}",[93 73  5],Medium,hybrid,project_discussion,Remote,yes
25,Surya Ravindranath,64,"{'Harini Raj,Aruna Ravindranath,Surya Ravindranath,Avinash Raj,Prasanna Ravindranath,Harini Ravindranath,Vaishali Ravindranath', 'Surya Ravindranath'}",[ 7 24 33],Medium,online,employee_engagement,France,yes
26,Aruna Prasad,97,"{'Aruna Prasad', 'Surya Prakash,Divya Prasad,Surya Raj,Surya Prasad,Vaishali Prakash'}",[42 28 27],Medium,in_office,employee_engagement,Romania,no
27,Avinash Prasad,156,"{'Aruna Prakash,Prasanna Prasad,Aruna Prakash,Aruna Ravindranath', 'Avinash Prasad'}",[ 12 117  27],High,in_office,trainings,Romania,yes
28,Divya Raj,109,"{'Divya Prakash,Vaishali Prakash,Surya Prakash,Avinash Raj,Harini Raj,Prasanna Prasad,Surya Prasad,Harini Raj', 'Divya Raj'}",[ 1 27 81],Medium,online,trainings,Romania,yes
29,Harini Prakash,81,"{'Harini Ravindranath,Harini Prakash,Prasanna Prasad,Avinash Prakash,Surya Ravindranath,Surya Prakash,Divya Raj,Harini Prasad,Harini Prakash,Aruna Ravindranath', 'Harini Prakash'}",[16 60  5],Low,in_office,employee_engagement,France,no
30,Vaishali Raj,164,"{'Harini Raj,Vaishali Ravindranath', 'Vaishali Raj'}",[35 72 57],Medium,hybrid,trainings,Remote,no
31,Avinash Prasad,102,"{'Vaishali Ravindranath,Aruna Ravindranath,Surya Prasad,Prasanna Prakash,Vaishali Raj,Prasanna Ravindranath,Harini Raj,Harini Ravindranath,Vaishali Ravindranath,Prasanna Raj', 'Avinash Prasad'}",[85  5 12],Low,hybrid,project_discussion,Romania,yes
32,Aruna Raj,134,"{'Aruna Raj', 'Aruna Ravindranath,Prasanna Prakash,Divya Prakash,Avinash Ravindranath,Divya Ravindranath,Surya Raj,Aruna Raj,Surya Prasad,Vaishali Prakash,Divya Ravindranath'}",[101  20  13],Medium,online,employee_engagement,France,no
33,Aruna Raj,29,"{'Aruna Raj', 'Prasanna Raj,Divya Ravindranath,Avinash Prakash,Avinash Prasad,Prasanna Prakash,Vaishali Ravindranath,Vaishali Ravindranath,Prasanna Prakash,Prasanna Prasad'}",[ 3 20  6],Medium,in_office,employee_engagement,France,yes
34,Surya Ravindranath,76,"{'Surya Ravindranath', 'Avinash Prakash,Vaishali Prasad,Harini Prakash,Divya Ravindranath,Aruna Raj,Surya Prakash,Aruna Prasad'}",[45  0 31],Medium,in_office,trainings,Remote,yes
35,Surya Prakash,154,"{'Surya Prakash', 'Harini Prakash,Vaishali Ravindranath,Surya Raj,Prasanna Ravindranath,Divya Prasad,Harini Prasad,Avinash Raj,Prasanna Ravindranath'}",[65 55 34],High,hybrid,project_discussion,Remote,yes
